#SUBMITTED ID	FBID_KEY	ANNOTATION_SYMBOL	CYTOGENETIC_MAP	GO_BIOLOGICAL_PROCESS	GO_CELLULAR_COMPONENT	GO_MOLECULAR_FUNCTION	LOCATION_ARM	LOCATION_MAX	LOCATION_MIN	LOCATION_STRAND	NAME	RECOMBINATION_MAP	REFSEQ_POLYPEPTIDE	REFSEQ_TRANSCRIPT	SYMBOL
FBgn0015714	FBgn0015714	CG10241	51D1-51D1	oxidation-reduction process ; GO:0055114 | inferred from electronic annotation with InterPro:IPR001128, InterPro:IPR002401, InterPro:IPR017972 <newline> thermosensory behavior ; GO:0040040 | inferred from mutant phenotype	-	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ; GO:0016705 | inferred from electronic annotation with InterPro:IPR001128, InterPro:IPR002401, InterPro:IPR017972 <newline> heme binding ; GO:0020037 | inferred from electronic annotation with InterPro:IPR001128, InterPro:IPR002401 <newline> iron ion binding ; GO:0005506 | inferred from electronic annotation with InterPro:IPR001128, InterPro:IPR002401 <newline> oxidoreductase activity ; GO:0016491 | inferred from biological aspect of ancestor with PANTHER:PTN001209891	2R	14875739	14873953	1	Cytochrome P450-6a17	2-73	REFSEQ:NP_652018 <newline> REFSEQ:NP_001286433	REFSEQ:NM_143761 <newline> REFSEQ:NM_001299504	Cyp6a17
FBgn0015777	FBgn0015777	CG9261	27B1-27B2	potassium ion transport ; GO:0006813 | inferred from electronic annotation with InterPro:IPR000402 <newline> sodium ion transport ; GO:0006814 | inferred from electronic annotation with InterPro:IPR000402 <newline> cell adhesion involved in heart morphogenesis ; GO:0061343 | inferred from mutant phenotype <newline> establishment of glial blood-brain barrier ; GO:0060857 | inferred from mutant phenotype <newline> regulation of tube length, open tracheal system ; GO:0035159 | inferred from mutant phenotype <newline> cation transport ; GO:0006812 | inferred from direct assay <newline> regulation of tube diameter, open tracheal system ; GO:0035158 | inferred from mutant phenotype <newline> open tracheal system development ; GO:0007424 | inferred from mutant phenotype <newline> regulation of tube size, open tracheal system ; GO:0035151 | inferred from mutant phenotype <newline> septate junction assembly ; GO:0019991 | inferred from mutant phenotype <newline> sensory perception of sound ; GO:0007605 | inferred from mutant phenotype	sodium:potassium-exchanging ATPase complex ; GO:0005890 | inferred from electronic annotation with InterPro:IPR000402 <newline> septate junction ; GO:0005918 | inferred from direct assay <newline> plasma membrane ; GO:0005886 | inferred from sequence or structural similarity <newline> plasma membrane ; GO:0005886 | inferred from direct assay <newline> sodium:potassium-exchanging ATPase complex ; GO:0005890 | inferred by curator from GO:0005391 <newline> axon ; GO:0030424 | inferred from direct assay <newline> plasma membrane ; GO:0005886 | inferred from high throughput direct assay	sodium:potassium-exchanging ATPase activity ; GO:0005391 | contributes_to inferred from mutant phenotype <newline> cation transmembrane transporter activity ; GO:0008324 | contributes_to inferred from direct assay	2L	6798862	6789770	-1	nervana 2	2-22	REFSEQ:NP_723216 <newline> REFSEQ:NP_477168 <newline> REFSEQ:NP_477169 <newline> REFSEQ:NP_001014476 <newline> REFSEQ:NP_001014475 <newline> REFSEQ:NP_001260164	REFSEQ:NM_164711 <newline> REFSEQ:NM_057820 <newline> REFSEQ:NM_057821 <newline> REFSEQ:NM_001014476 <newline> REFSEQ:NM_001014475 <newline> REFSEQ:NM_001273235	nrv2
FBgn0020235	FBgn0020235	CG7610	99B10-99B10	hydrogen ion transmembrane transport ; GO:1902600 | inferred from sequence or structural similarity with UniProtKB:P36542 <newline> ATP synthesis coupled proton transport ; GO:0015986 | inferred from sequence or structural similarity with SGD:S000000243	mitochondrion ; GO:0005739 | inferred from high throughput direct assay <newline> mitochondrial proton-transporting ATP synthase complex, catalytic core F(1) ; GO:0000275 | inferred from sequence or structural similarity with UniProtKB:P36542	proton-transporting ATP synthase activity, rotational mechanism ; GO:0046933 | contributes_to inferred from sequence or structural similarity with SGD:S000000243	3R	29749163	29747704	-1	ATP synthase, gamma subunit	3-99	REFSEQ:NP_524550 <newline> REFSEQ:NP_733304 <newline> REFSEQ:NP_733305	REFSEQ:NM_079826 <newline> REFSEQ:NM_170425 <newline> REFSEQ:NM_170426	ATPsyngamma
FBgn0020910	FBgn0020910	CG4863	86D8-86D8	translation ; GO:0006412 | inferred from electronic annotation with InterPro:IPR000597 <newline> cytoplasmic translation ; GO:0002181 | traceable author statement <newline> ribosomal large subunit assembly ; GO:0000027 | inferred from biological aspect of ancestor with PANTHER:PTN000146039	ribosome ; GO:0005840 | inferred from electronic annotation with InterPro:IPR000597 <newline> cytosolic large ribosomal subunit ; GO:0022625 | traceable author statement	structural constituent of ribosome ; GO:0003735 | inferred from electronic annotation with InterPro:IPR000597 <newline> RNA binding ; GO:0003723 | inferred from biological aspect of ancestor with PANTHER:PTN000146039 <newline> structural constituent of ribosome ; GO:0003735 | traceable author statement	3R	11225173	11221894	1	Ribosomal protein L3	3-50	REFSEQ:NP_731547 <newline> REFSEQ:NP_524316 <newline> REFSEQ:NP_731550 <newline> REFSEQ:NP_731548	REFSEQ:NM_169377 <newline> REFSEQ:NM_079592 <newline> REFSEQ:NM_169380 <newline> REFSEQ:NM_169378	RpL3
FBgn0024315	FBgn0024315	CG8098	53C15-53D1	phosphate ion transmembrane transport ; GO:0035435 | inferred from electronic annotation with InterPro:IPR004745 <newline> anion transport ; GO:0006820 | inferred from biological aspect of ancestor with PANTHER:PTN000184222 <newline> transmembrane transport ; GO:0055085 | inferred from biological aspect of ancestor with PANTHER:PTN000184222	plasma membrane ; GO:0005886 | inferred from biological aspect of ancestor with PANTHER:PTN000910672 <newline> integral component of membrane ; GO:0016021 | inferred from biological aspect of ancestor with PANTHER:PTN000184222	phosphate ion transmembrane transporter activity ; GO:0015114 | inferred from electronic annotation with InterPro:IPR004745 <newline> transmembrane transporter activity ; GO:0022857 | inferred from biological aspect of ancestor with PANTHER:PTN000184222	2R	16667675	16655323	-1	Picot	2-80	REFSEQ:NP_611146 <newline> REFSEQ:NP_725600 <newline> REFSEQ:NP_001286496 <newline> REFSEQ:NP_001286497	REFSEQ:NM_137302 <newline> REFSEQ:NM_166187 <newline> REFSEQ:NM_001299567 <newline> REFSEQ:NM_001299568	Picot
FBgn0025360	FBgn0025360	CG18455	44A3-44A3	compound eye photoreceptor cell differentiation ; GO:0001751 | inferred from mutant phenotype <newline> compound eye development ; GO:0048749 | non-traceable author statement <newline> compound eye development ; GO:0048749 | inferred from mutant phenotype <newline> progression of morphogenetic furrow involved in compound eye morphogenesis ; GO:0007458 | inferred from mutant phenotype <newline> dendrite morphogenesis ; GO:0048813 | inferred from mutant phenotype <newline> compound eye morphogenesis ; GO:0001745 | inferred from mutant phenotype <newline> compound eye development ; GO:0048749 | inferred from expression pattern	-	sequence-specific DNA binding ; GO:0043565 | inferred from direct assay	2R	8042529	8031283	1	Optix	2-58	REFSEQ:NP_524695 <newline> REFSEQ:NP_724640 <newline> REFSEQ:NP_001260793	REFSEQ:NM_079956 <newline> REFSEQ:NM_165584 <newline> REFSEQ:NM_001273864	Optix
FBgn0026315	FBgn0026315	CG6644	86D5-86D5	UDP-glucose metabolic process ; GO:0006011 | inferred from sequence or structural similarity with UniProtKB:P18569	intracellular membrane-bounded organelle ; GO:0043231 | inferred from biological aspect of ancestor with PANTHER:PTN000230403 <newline> integral component of membrane ; GO:0016021 | inferred from sequence model	UDP-glycosyltransferase activity ; GO:0008194 | inferred from sequence or structural similarity with UniProtKB:P18569 <newline> glucuronosyltransferase activity ; GO:0015020 | inferred from biological aspect of ancestor with PANTHER:PTN001376818	3R	11172664	11170817	-1	UDP-glycosyltransferase 35a	3-50	REFSEQ:NP_524314	REFSEQ:NM_079590	Ugt35a
FBgn0027080	FBgn0027080	CG4561	72F1-72F1	tyrosyl-tRNA aminoacylation ; GO:0006437 | inferred from electronic annotation with InterPro:IPR002307 <newline> regulation of macrophage chemotaxis ; GO:0010758 | inferred from direct assay inferred from mutant phenotype <newline> tyrosyl-tRNA aminoacylation ; GO:0006437 | traceable author statement <newline> positive chemotaxis ; GO:0050918 | inferred from direct assay	cytoplasm ; GO:0005737 | traceable author statement <newline> extracellular space ; GO:0005615 | inferred from direct assay <newline> methionyl glutamyl tRNA synthetase complex ; GO:0017102 | inferred from biological aspect of ancestor with PANTHER:PTN000172473 <newline> aminoacyl-tRNA synthetase multienzyme complex ; GO:0017101 | inferred from biological aspect of ancestor with PANTHER:PTN000172473	ATP binding ; GO:0005524 | inferred from electronic annotation with InterPro:IPR002305, InterPro:IPR002307 <newline> tyrosine-tRNA ligase activity ; GO:0004831 | traceable author statement <newline> tRNA binding ; GO:0000049 | inferred from biological aspect of ancestor with PANTHER:PTN000172473 <newline> tyrosine-tRNA ligase activity ; GO:0004831 | inferred from direct assay <newline> chemoattractant activity ; GO:0042056 | inferred from direct assay inferred from mutant phenotype	3L	16419302	16417349	-1	Tyrosyl-tRNA synthetase	3-44	REFSEQ:NP_648895	REFSEQ:NM_140638	TyrRS
FBgn0029943	FBgn0029943	CG1643	7B1-7B1	larval midgut cell programmed cell death ; GO:0035096 | inferred from mutant phenotype <newline> autophagy ; GO:0006914 | inferred from mutant phenotype <newline> autophagy of mitochondrion ; GO:0000422 | inferred from biological aspect of ancestor with PANTHER:PTN000315667 <newline> glycophagy ; GO:0061723 | inferred from mutant phenotype <newline> cellular response to starvation ; GO:0009267 | inferred from mutant phenotype <newline> macroautophagy ; GO:0016236 | inferred from sequence or structural similarity with SGD:S000006070 <newline> cellular response to nitrogen starvation ; GO:0006995 | inferred from biological aspect of ancestor with PANTHER:PTN000315667 <newline> macroautophagy ; GO:0016236 | inferred from mutant phenotype <newline> autophagy ; GO:0006914 | inferred from sequence or structural similarity with UniProtKB:Q99J83 <newline> autophagosome assembly ; GO:0000045 | inferred from biological aspect of ancestor with PANTHER:PTN000315667 <newline> C-terminal protein lipidation ; GO:0006501 | inferred from biological aspect of ancestor with PANTHER:PTN000315667 <newline> autophagy of nucleus ; GO:0044804 | inferred from biological aspect of ancestor with PANTHER:PTN000315667	Atg12-Atg5-Atg16 complex ; GO:0034274 | inferred from biological aspect of ancestor with PANTHER:PTN000315667 <newline> Atg12-Atg5-Atg16 complex ; GO:0034274 | inferred from sequence or structural similarity with SGD:S000006070 <newline> pre-autophagosomal structure membrane ; GO:0034045 | inferred from biological aspect of ancestor with PANTHER:PTN000315667 <newline> autophagosome ; GO:0005776 | inferred from direct assay <newline> cytoplasm ; GO:0005737 | inferred from sequence or structural similarity with UniProtKB:Q99J83	Atg8 ligase activity ; GO:0019776 | contributes_to inferred from sequence or structural similarity with SGD:S000006070 <newline> Atg8 ligase activity ; GO:0019776 | contributes_to inferred from biological aspect of ancestor with PANTHER:PTN000315667	X	7323770	7314622	-1	Autophagy-related 5	1-20	REFSEQ:NP_572390	REFSEQ:NM_132162	Atg5
FBgn0030103	FBgn0030103	CG12665	8D1-8D1	sensory perception of smell ; GO:0007608 | inferred from biological aspect of ancestor with PANTHER:PTN000220814 <newline> sensory perception of chemical stimulus ; GO:0007606 | inferred from sequence alignment with UniProtKB:P34174 <newline> sensory perception of chemical stimulus ; GO:0007606 | inferred from sequence or structural similarity with lush	extracellular region ; GO:0005576 | inferred from sequence model <newline> extracellular space ; GO:0005615 | inferred from biological aspect of ancestor with PANTHER:PTN000220814	odorant binding ; GO:0005549 | inferred from sequence alignment with UniProtKB:P34174 <newline> odorant binding ; GO:0005549 | inferred from sequence or structural similarity with lush	X	9215699	9214876	1	Odorant-binding protein 8a	1-27	REFSEQ:NP_727322	REFSEQ:NM_167184	Obp8a
FBgn0030317	FBgn0030317	CG1561	10C7-10C7	-	-	-	X	11584175	11581957	-1	-	1-35	REFSEQ:NP_996412	REFSEQ:NM_206689	CG1561
FBgn0030332	FBgn0030332	CG9360	10E2-10E2	-	-	-	X	11764590	11763474	-1	-	1-36	REFSEQ:NP_572746	REFSEQ:NM_132518	CG9360
FBgn0030391	FBgn0030391	CG1900	11A11-11A11	Rab protein signal transduction ; GO:0032482 | inferred from sequence or structural similarity with Rab11 <newline> protein localization to plasma membrane ; GO:0072659 | inferred from biological aspect of ancestor with PANTHER:PTN000635134 <newline> vesicle-mediated transport ; GO:0016192 | inferred from sequence or structural similarity with Rab11	endosome ; GO:0005768 | inferred from biological aspect of ancestor with PANTHER:PTN000635134 <newline> vesicle ; GO:0031982 | inferred from sequence or structural similarity with Rab11 <newline> plasma membrane ; GO:0005886 | inferred from biological aspect of ancestor with PANTHER:PTN000635134 <newline> synaptic vesicle ; GO:0008021 | inferred from biological aspect of ancestor with PANTHER:PTN001530779 <newline> secretory granule membrane ; GO:0030667 | inferred from biological aspect of ancestor with PANTHER:PTN001179253	GTP binding ; GO:0005525 | inferred from electronic annotation with InterPro:IPR001806, InterPro:IPR003579, InterPro:IPR005225 <newline> GTPase activity ; GO:0003924 | inferred from sequence or structural similarity with Rab11	X	12463112	12459796	-1	Rab40	1-38	REFSEQ:NP_572800 <newline> REFSEQ:NP_727611 <newline> REFSEQ:NP_001285153	REFSEQ:NM_132572 <newline> REFSEQ:NM_167323 <newline> REFSEQ:NM_001298224	Rab40
FBgn0030449	FBgn0030449	CG4349	11D11-11D11	iron ion transport ; GO:0006826 | inferred from electronic annotation with InterPro:IPR001519 <newline> cellular response to iron ion starvation ; GO:0010106 | inferred from mutant phenotype <newline> intracellular sequestering of iron ion ; GO:0006880 | inferred from biological aspect of ancestor with PANTHER:PTN000153092	cytoplasm ; GO:0005737 | inferred from biological aspect of ancestor with PANTHER:PTN000153092	ferric iron binding ; GO:0008199 | inferred from electronic annotation with InterPro:IPR001519, InterPro:IPR008331 <newline> iron ion binding ; GO:0005506 | inferred from biological aspect of ancestor with PANTHER:PTN000153092	X	13108194	13107382	-1	Ferritin 3 heavy chain homologue	1-41	REFSEQ:NP_572854	REFSEQ:NM_132626	Fer3HCH
FBgn0030993	FBgn0030993	CG7635	18A6-18A6	nephrocyte filtration ; GO:0097206 | inferred from mutant phenotype	membrane ; GO:0016020 | inferred from electronic annotation with InterPro:IPR001972 <newline> nephrocyte diaphragm ; GO:0005917 | inferred by curator from GO:0005515	protein binding ; GO:0005515 | inferred from physical interaction with sns	X	19190193	19188035	1	Mec2	1-62	REFSEQ:NP_573357	REFSEQ:NM_133129	Mec2
FBgn0031111	FBgn0031111	CG15457	19D1-19D1	sensory perception of smell ; GO:0007608 | inferred from biological aspect of ancestor with PANTHER:PTN000220814 <newline> sensory perception of chemical stimulus ; GO:0007606 | inferred from sequence alignment with UniProtKB:P34174 <newline> sensory perception of chemical stimulus ; GO:0007606 | inferred from sequence or structural similarity with lush <newline> sensory perception of chemical stimulus ; GO:0007606 | inferred from sequence or structural similarity with UniProtKB:P34174	extracellular space ; GO:0005615 | inferred from biological aspect of ancestor with PANTHER:PTN000220814 <newline> extracellular region ; GO:0005576 | inferred from sequence model	odorant binding ; GO:0005549 | inferred from sequence or structural similarity with lush <newline> odorant binding ; GO:0005549 | inferred from sequence or structural similarity with UniProtKB:P34174 <newline> odorant binding ; GO:0005549 | inferred from sequence alignment with UniProtKB:P34174	X	20418964	20417921	-1	Odorant-binding protein 19c	1-64	REFSEQ:NP_608392 <newline> REFSEQ:NP_728340	REFSEQ:NM_134548 <newline> REFSEQ:NM_167701	Obp19c
FBgn0031489	FBgn0031489	CG17224	23C4-23C4	nucleoside metabolic process ; GO:0009116 | inferred from electronic annotation with InterPro:IPR000845 <newline> nucleotide catabolic process ; GO:0009166 | inferred from electronic annotation with InterPro:IPR010059	cytoplasm ; GO:0005737 | inferred from electronic annotation with InterPro:IPR010059	uridine phosphorylase activity ; GO:0004850 | inferred from electronic annotation with InterPro:IPR010059	2L	3018308	3016441	-1	-	2-8	REFSEQ:NP_722867 <newline> REFSEQ:NP_608735 <newline> REFSEQ:NP_001162855 <newline> REFSEQ:NP_001259977	REFSEQ:NM_164520 <newline> REFSEQ:NM_134891 <newline> REFSEQ:NM_001169384 <newline> REFSEQ:NM_001273048	CG17224
FBgn0031580	FBgn0031580	CG15423	24D3-24D3	-	-	-	2L	4006606	4006041	1	-	2-11	REFSEQ:NP_608815	REFSEQ:NM_134971	CG15423
FBgn0031659	FBgn0031659	CG14043	25B5-25B5	mitochondrial transport ; GO:0006839 | inferred from sequence or structural similarity with UniProtKB:Q96EK5	mitochondrion ; GO:0005739 | inferred from sequence or structural similarity with UniProtKB:Q96EK5	molecular_function ; GO:0003674 | no biological data available	2L	4973687	4971702	1	-	2-14	REFSEQ:NP_608886	REFSEQ:NM_135042	CG14043
FBgn0031902	FBgn0031902	CG4969	27F1-27F2	neuron differentiation ; GO:0030182 | inferred from biological aspect of ancestor with PANTHER:PTN000246517 <newline> Wnt signaling pathway ; GO:0016055 | inferred from sequence or structural similarity with wg <newline> cell fate commitment ; GO:0045165 | inferred from biological aspect of ancestor with PANTHER:PTN000246517 <newline> regulation of imaginal disc-derived wing size ; GO:0044719 | inferred from mutant phenotype <newline> Wnt signaling pathway ; GO:0016055 | inferred from biological aspect of ancestor with PANTHER:PTN000246517	extracellular space ; GO:0005615 | inferred from biological aspect of ancestor with PANTHER:PTN000246517 <newline> extracellular region ; GO:0005576 | inferred from sequence or structural similarity with wg	receptor binding ; GO:0005102 | inferred from sequence or structural similarity with wg <newline> frizzled binding ; GO:0005109 | inferred from biological aspect of ancestor with PANTHER:PTN000246517	2L	7352542	7333714	1	Wnt oncogene analog 6	2-26	REFSEQ:NP_609108 <newline> REFSEQ:NP_001260188	REFSEQ:NM_135264 <newline> REFSEQ:NM_001273259	Wnt6
FBgn0032253	FBgn0032253	CG5322	31E4-31E5	protein deglycosylation ; GO:0006517 | inferred from biological aspect of ancestor with PANTHER:PTN000176395 <newline> mannose metabolic process ; GO:0006013 | inferred from biological aspect of ancestor with PANTHER:PTN000176395	-	carbohydrate binding ; GO:0030246 | inferred from electronic annotation with InterPro:IPR011013 <newline> mannosyl-oligosaccharide 1,2-alpha-mannosidase activity ; GO:0004571 | inferred from direct assay	2L	10457241	10452677	-1	Lysosomal alpha-mannosidase I	2-42	REFSEQ:NP_609407 <newline> REFSEQ:NP_001260350	REFSEQ:NM_135563 <newline> REFSEQ:NM_001273421	LManI
FBgn0032538	FBgn0032538	CG16885	34E4-34E4	-	-	-	2L	13934692	13932559	-1	-	2-50	REFSEQ:NP_609689	REFSEQ:NM_135845	CG16885
FBgn0032638	FBgn0032638	CG6639	36C9-36C9	proteolysis ; GO:0006508 | inferred from electronic annotation with InterPro:IPR001254, InterPro:IPR001314 <newline> defense response to Gram-positive bacterium ; GO:0050830 | inferred from expression pattern	cellular_component ; GO:0005575 | no biological data available	serine-type endopeptidase activity ; GO:0004252 | NOT inferred from key residues <newline> molecular_function ; GO:0003674 | no biological data available	2L	17455923	17454263	-1	Serine protease homolog 93	2-53	REFSEQ:NP_609840	REFSEQ:NM_135996	SPH93
FBgn0032731	FBgn0032731	CG10641	37B8-37B8	mesoderm development ; GO:0007498 | inferred from expression pattern	plasma membrane ; GO:0005886 | inferred from direct assay <newline> muscle tendon junction ; GO:0005927 | inferred from direct assay	calcium ion binding ; GO:0005509 | inferred from electronic annotation with InterPro:IPR002048	2L	18987280	18977519	-1	Swiprosin-1	2-54	REFSEQ:NP_609925 <newline> REFSEQ:NP_001286079	REFSEQ:NM_136081 <newline> REFSEQ:NM_001299150	Swip-1
FBgn0032858	FBgn0032858	CG10949	38C6-38C6	-	-	-	2L	20416918	20415173	-1	-	2-54	REFSEQ:NP_610032 <newline> REFSEQ:NP_001286101	REFSEQ:NM_136188 <newline> REFSEQ:NM_001299172	CG10949
FBgn0032895	FBgn0032895	CG9335	38F2-38F3	regulation of neurotransmitter secretion ; GO:0046928 | inferred from mutant phenotype	anchored component of plasma membrane ; GO:0046658 | inferred from direct assay	-	2L	20857113	20852578	1	target of wit	2-54	REFSEQ:NP_610067	REFSEQ:NM_136223	twit
FBgn0033188	FBgn0033188	CG1600	43D2-43D3	response to hypoxia ; GO:0001666 | inferred from expression pattern inferred from mutant phenotype <newline> cellular response to ethanol ; GO:0071361 | inferred from mutant phenotype	-	oxidoreductase activity ; GO:0016491 | inferred from electronic annotation with InterPro:IPR002085	2R	7532981	7526118	-1	Death resistor Adh domain containing target	2-56	REFSEQ:NP_724572 <newline> REFSEQ:NP_610293 <newline> REFSEQ:NP_724573 <newline> REFSEQ:NP_001260779	REFSEQ:NM_165538 <newline> REFSEQ:NM_136449 <newline> REFSEQ:NM_165539 <newline> REFSEQ:NM_001273850	Drat
FBgn0033289	FBgn0033289	CG2121	44C4-44C6	regulation of potassium ion transport ; GO:0043266 | inferred from biological aspect of ancestor with PANTHER:PTN000455664 <newline> skeletal muscle contraction ; GO:0003009 | inferred from mutant phenotype <newline> regulation of muscle contraction ; GO:0006937 | inferred from biological aspect of ancestor with PANTHER:PTN000455664	plasma membrane ; GO:0005886 | inferred from biological aspect of ancestor with PANTHER:PTN000455664 <newline> striated muscle dense body ; GO:0055120 | inferred from biological aspect of ancestor with PANTHER:PTN000455664	potassium channel regulator activity ; GO:0015459 | inferred from biological aspect of ancestor with PANTHER:PTN000455664	2R	8411767	8396397	-1	-	2-58	REFSEQ:NP_610378 <newline> REFSEQ:NP_001137618	REFSEQ:NM_136534 <newline> REFSEQ:NM_001144146	CG2121
FBgn0033465	FBgn0033465	CG12140	46C4-46C4	respiratory electron transport chain ; GO:0022904 | inferred from biological aspect of ancestor with PANTHER:PTN000835262 <newline> fatty acid beta-oxidation ; GO:0006635 | inferred from mutant phenotype <newline> oxidative phosphorylation ; GO:0006119 | inferred from sequence or structural similarity with UniProtKB:Q16134	mitochondrion ; GO:0005739 | inferred from high throughput direct assay <newline> mitochondrial electron transfer flavoprotein complex ; GO:0017133 | inferred from biological aspect of ancestor with PANTHER:PTN000065332 <newline> mitochondrial inner membrane ; GO:0005743 | inferred from sequence or structural similarity with UniProtKB:Q16134 <newline> integral component of mitochondrial inner membrane ; GO:0031305 | inferred from biological aspect of ancestor with PANTHER:PTN000065332	electron-transferring-flavoprotein dehydrogenase activity ; GO:0004174 | inferred from sequence or structural similarity with UniProtKB:Q16134 <newline> electron-transferring-flavoprotein dehydrogenase activity ; GO:0004174 | inferred from direct assay <newline> electron transfer activity ; GO:0009055 | inferred from biological aspect of ancestor with PANTHER:PTN000835262 <newline> ubiquinone binding ; GO:0048039 | inferred from biological aspect of ancestor with PANTHER:PTN000835262 <newline> oxidoreductase activity, oxidizing metal ions with flavin as acceptor ; GO:0043783 | inferred from biological aspect of ancestor with PANTHER:PTN000835262 <newline> 4 iron, 4 sulfur cluster binding ; GO:0051539 | inferred from biological aspect of ancestor with PANTHER:PTN000835262	2R	9913488	9910893	1	Electron transfer flavoprotein-ubiquinone oxidoreductase	2-61	REFSEQ:NP_610536 <newline> REFSEQ:NP_001246231	REFSEQ:NM_136692 <newline> REFSEQ:NM_001259302	Etf-QO
FBgn0033799	FBgn0033799	CG4604	49F4-49F4	cellular response to oxidative stress ; GO:0034599 | inferred from mutant phenotype <newline> determination of adult lifespan ; GO:0008340 | inferred from mutant phenotype <newline> cellular response to starvation ; GO:0009267 | inferred from mutant phenotype <newline> lipid catabolic process ; GO:0016042 | inferred from genetic interaction with fh <newline> cellular response to oxidative stress ; GO:0034599 | inferred from direct assay	extracellular space ; GO:0005615 | inferred from direct assay	-	2R	13168032	13163959	-1	Glial Lazarillo	2-68	REFSEQ:NP_523727 <newline> REFSEQ:NP_001260936 <newline> REFSEQ:NP_001260937 <newline> REFSEQ:NP_001260938 <newline> REFSEQ:NP_001260939 <newline> REFSEQ:NP_001260940	REFSEQ:NM_079003 <newline> REFSEQ:NM_001274007 <newline> REFSEQ:NM_001274008 <newline> REFSEQ:NM_001274009 <newline> REFSEQ:NM_001274010 <newline> REFSEQ:NM_001274011	GLaz
FBgn0033820	FBgn0033820	CG4716	49F13-49F13	-	-	methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity ; GO:0004486 | non-traceable author statement	2R	13257446	13256587	1	-	2-68	REFSEQ:NP_725273 <newline> REFSEQ:NP_610858 <newline> REFSEQ:NP_001286384	REFSEQ:NM_165976 <newline> REFSEQ:NM_137014 <newline> REFSEQ:NM_001299455	CG4716
FBgn0033902	FBgn0033902	CG8309	50E1-50E1	positive regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis ; GO:2001272 | inferred from mutant phenotype <newline> Golgi organization ; GO:0007030 | inferred from mutant phenotype <newline> translation ; GO:0006412 | inferred from sequence or structural similarity with MGI:MGI:1351744 <newline> protein secretion ; GO:0009306 | inferred from mutant phenotype <newline> cytoplasmic translational initiation ; GO:0002183 | inferred from biological aspect of ancestor with PANTHER:PTN000394291 <newline> sperm individualization ; GO:0007291 | inferred from mutant phenotype <newline> activation of cysteine-type endopeptidase activity ; GO:0097202 | inferred from direct assay inferred from mutant phenotype	eukaryotic translation initiation factor 3 complex ; GO:0005852 | inferred from sequence or structural similarity with MGI:MGI:1351744 <newline> eukaryotic translation initiation factor 3 complex ; GO:0005852 | inferred from biological aspect of ancestor with PANTHER:PTN000394291 <newline> cytosol ; GO:0005829 | inferred from direct assay <newline> Golgi apparatus ; GO:0005794 | inferred from direct assay <newline> investment cone ; GO:0070865 | inferred from direct assay	translation initiation factor activity ; GO:0003743 | inferred from electronic annotation with InterPro:IPR027528 <newline> caspase binding ; GO:0089720 | inferred from physical interaction with Dronc, Dark <newline> translation initiation factor binding ; GO:0031369 | inferred from sequence or structural similarity with MGI:MGI:1351744	2R	14164825	14163066	-1	eukaryotic translation initiation factor 3 subunit m	2-69	REFSEQ:NP_610932 <newline> REFSEQ:NP_001286407	REFSEQ:NM_137088 <newline> REFSEQ:NM_001299478	eIF3m
FBgn0033928	FBgn0033928	CG13941	50F6-50F6	biological_process ; GO:0008150 | no biological data available	cellular_component ; GO:0005575 | no biological data available	molecular_function ; GO:0003674 | no biological data available	2R	14362825	14361924	1	Arc2	2-70	REFSEQ:NP_610956	REFSEQ:NM_137112	Arc2
FBgn0034217	FBgn0034217	CG18468	54B7-54B7	negative regulation of transposition ; GO:0010529 | inferred from mutant phenotype <newline> mitotic sister chromatid segregation ; GO:0000070 | inferred from mutant phenotype <newline> regulation of transposition ; GO:0010528 | inferred from mutant phenotype <newline> telomere maintenance ; GO:0000723 | inferred from mutant phenotype <newline> heterochromatin organization involved in chromatin silencing ; GO:0070868 | inferred from mutant phenotype	chromocenter ; GO:0010369 | inferred from direct assay <newline> polytene chromosome, telomeric region ; GO:0035012 | inferred from direct assay <newline> heterochromatin ; GO:0000792 | inferred from direct assay <newline> chromosome, centromeric region ; GO:0000775 | inferred from direct assay	DNA binding ; GO:0003677 | inferred from electronic annotation with InterPro:IPR004210 <newline> protein binding ; GO:0005515 | inferred from physical interaction with Hmr	2R	17432219	17431032	1	Lethal hybrid rescue	2-82	REFSEQ:NP_611210	REFSEQ:NM_137366	Lhr
